edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,id,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_ano,impacto_abandono,scoring_abandono
41,1,Travel_Rarely,Sales,1,Universitaria,Life Sciences,1,Media,Alta,2,Sales Executive,Alta,Single,5993,8,Yes,11,Alta,Baja,0,8,0,6,0,5,71916,14670.864,0.6549375380972148
49,0,Travel_Frequently,Research & Development,8,Secundaria,Life Sciences,2,Alta,Media,2,Research Scientist,Media,Married,5130,1,No,23,Muy_Alta,Muy_Alta,1,10,3,10,1,7,61560,12558.24,0.038973643044637414
37,1,Travel_Rarely,Research & Development,2,Secundaria,Other,4,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2090,6,Yes,15,Alta,Media,0,7,3,0,0,0,25080,4037.88,0.866309523809524
33,0,Travel_Frequently,Research & Development,3,Universitaria,Life Sciences,5,Muy_Alta,Alta,1,Research Scientist,Alta,Married,2909,1,Yes,11,Alta,Alta,0,8,3,8,3,0,34908,6876.876,0.1411338827754137
27,0,Travel_Rarely,Research & Development,2,Universitaria,Medical,7,Baja,Alta,1,Laboratory Technician,Alta,Married,3468,9,No,12,Alta,Muy_Alta,1,6,3,2,2,2,41616,8198.352,0.04825646560004408
32,0,Travel_Frequently,Research & Development,2,Universitaria,Life Sciences,8,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,3068,0,No,13,Alta,Alta,0,8,2,7,3,6,36816,7252.752,0.047215129246145036
59,0,Travel_Rarely,Research & Development,3,Master,Medical,10,Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2670,4,Yes,20,Muy_Alta,Baja,3,12,3,1,0,0,32040,6311.88,0.19916005198905418
30,0,Travel_Rarely,Research & Development,24,Universitaria,Life Sciences,11,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2693,1,No,22,Muy_Alta,Media,1,1,2,1,0,0,32316,6366.252,0.1400200659286269
38,0,Travel_Frequently,Research & Development,23,Secundaria,Life Sciences,12,Muy_Alta,Media,3,Manufacturing Director,Media,Single,9526,0,No,21,Muy_Alta,Media,0,10,2,9,1,8,114312,24005.52,0.059015004320939674
36,0,Travel_Rarely,Research & Development,27,Universitaria,Medical,13,Alta,Alta,2,Healthcare Representative,Alta,Married,5237,6,No,13,Alta,Media,2,17,3,7,7,7,62844,12820.176,0.05600932292556189
35,0,Travel_Rarely,Research & Development,16,Master,Medical,14,Baja,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2426,0,No,13,Alta,Alta,1,6,5,5,0,3,29112,4687.032,0.16018163975532715
29,0,Travel_Rarely,Research & Development,15,Secundaria,Life Sciences,15,Muy_Alta,Media,2,Laboratory Technician,Media,Single,4193,0,Yes,12,Alta,Muy_Alta,0,10,3,9,0,8,50316,10264.464,0.13643854296116606
31,0,Travel_Rarely,Research & Development,26,Universitaria,Life Sciences,16,Baja,Alta,1,Research Scientist,Alta,Divorced,2911,1,No,17,Alta,Muy_Alta,1,5,1,5,4,3,34932,6881.604,0.020443290932703452
34,0,Travel_Rarely,Research & Development,19,Universitaria,Medical,18,Media,Alta,1,Laboratory Technician,Alta,Divorced,2661,0,No,11,Alta,Alta,1,3,2,2,1,2,31932,6290.604,0.07549760163288669
28,1,Travel_Rarely,Research & Development,24,Secundaria,Life Sciences,19,Alta,Media,1,Laboratory Technician,Media,Single,2028,5,Yes,14,Alta,Media,0,6,4,4,0,3,24336,3918.096,0.8490381246542503
29,0,Travel_Rarely,Research & Development,21,Master,Life Sciences,20,Media,Muy_Alta,3,Manufacturing Director,Muy_Alta,Divorced,9980,1,No,11,Alta,Alta,1,10,1,10,8,8,119760,25149.6,0.09057577862812824
32,0,Travel_Rarely,Research & Development,5,Master,Life Sciences,21,Baja,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,3298,0,Yes,12,Alta,Muy_Alta,2,7,5,6,0,5,39576,7796.472000000001,0.09279242033178679
22,0,Non-Travel,Research & Development,16,Master,Medical,22,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Divorced,2935,1,Yes,13,Alta,Media,2,1,2,1,0,0,35220,6938.34,0.12056972019378033
53,0,Travel_Rarely,Sales,2,Secundaria,Life Sciences,23,Baja,Media,4,Manager,Media,Married,15427,2,No,16,Alta,Alta,0,31,3,25,3,7,185124,38876.04,0.08360477025782291
38,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,24,Muy_Alta,Alta,1,Research Scientist,Alta,Single,3944,5,Yes,11,Alta,Alta,0,6,3,3,1,2,47328,9323.616,0.13348522793434894
24,0,Non-Travel,Research & Development,11,Master,Other,26,Baja,Muy_Alta,2,Manufacturing Director,Muy_Alta,Divorced,4011,0,No,18,Alta,Muy_Alta,1,5,5,4,1,3,48132,9482.004,0.053910389195751265
36,1,Travel_Rarely,Sales,9,Secundaria,Life Sciences,27,Alta,Media,1,Sales Representative,Alta,Single,3407,7,No,23,Muy_Alta,Media,0,10,4,5,0,3,40884,8054.148,0.5740351345811129
34,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,28,Baja,Alta,3,Research Director,Alta,Single,11994,0,No,11,Alta,Alta,0,13,4,12,2,11,143928,30224.879999999997,0.03633659447973473
21,0,Travel_Rarely,Research & Development,15,Universitaria,Life Sciences,30,Alta,Alta,1,Research Scientist,Alta,Single,1232,1,No,14,Alta,Muy_Alta,0,0,6,0,0,0,14784,2380.224,0.49876470588235294
34,1,Travel_Rarely,Research & Development,6,Universitaria,Medical,31,Media,Alta,1,Research Scientist,Alta,Single,2960,2,No,11,Alta,Alta,0,8,2,4,1,3,35520,6997.4400000000005,0.44110480184860235
53,0,Travel_Rarely,Research & Development,5,Universitaria,Other,32,Alta,Alta,5,Manager,Alta,Divorced,19094,4,No,11,Alta,Muy_Alta,1,26,3,14,4,8,229128,48116.88,0.03239817655414575
32,1,Travel_Frequently,Research & Development,16,Primaria,Life Sciences,33,Media,Baja,1,Research Scientist,Alta,Single,3919,1,Yes,22,Muy_Alta,Media,0,10,5,10,6,7,47028,9264.516,0.7599701286631518
42,0,Travel_Rarely,Sales,8,Universitaria,Marketing,35,Alta,Alta,2,Sales Executive,Alta,Married,6825,0,No,11,Alta,Muy_Alta,1,10,2,9,4,2,81900,17199.0,0.03080131590577846
44,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,36,Baja,Media,3,Healthcare Representative,Media,Married,10248,3,No,14,Alta,Muy_Alta,1,24,4,22,5,17,122976,25824.96,0.039554764504832966
46,0,Travel_Rarely,Sales,2,Universitaria,Marketing,38,Media,Alta,5,Manager,Alta,Single,18947,3,No,12,Alta,Muy_Alta,0,22,2,2,2,1,227364,47746.439999999995,0.11775380968175334
33,0,Travel_Rarely,Research & Development,2,Universitaria,Medical,39,Alta,Alta,1,Laboratory Technician,Alta,Single,2496,4,No,11,Alta,Muy_Alta,0,7,3,1,0,0,29952,4822.272,0.28871484652024487
44,0,Travel_Rarely,Research & Development,10,Universitaria,Other,40,Muy_Alta,Alta,2,Healthcare Representative,Alta,Married,6465,2,Yes,13,Alta,Muy_Alta,0,9,5,4,1,3,77580,16291.8,0.08699045135934316
30,0,Travel_Rarely,Research & Development,9,Universitaria,Medical,41,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,2206,1,No,13,Alta,Baja,0,10,5,10,1,8,26472,4261.992,0.18764253538113773
39,1,Travel_Rarely,Sales,5,Universitaria,Technical Degree,42,Muy_Alta,Alta,2,Sales Representative,Alta,Married,2086,3,No,14,Alta,Alta,1,19,6,1,0,0,25032,4030.152,0.6674749670619236
24,1,Travel_Rarely,Research & Development,1,Universitaria,Medical,45,Media,Alta,1,Research Scientist,Alta,Married,2293,2,Yes,16,Alta,Baja,1,6,2,2,2,0,27516,4430.076,0.7268642527762094
43,0,Travel_Rarely,Research & Development,2,Master,Medical,46,Muy_Alta,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,2645,1,No,12,Alta,Muy_Alta,2,6,3,5,1,4,31740,6252.780000000001,0.019744716671777067
50,1,Travel_Rarely,Sales,3,Secundaria,Marketing,47,Baja,Media,1,Sales Representative,Media,Married,2683,1,Yes,14,Alta,Alta,0,3,2,3,0,2,32196,6342.612,0.7179123500965083
35,0,Travel_Rarely,Sales,2,Universitaria,Marketing,49,Muy_Alta,Alta,1,Sales Representative,Alta,Married,2014,1,No,13,Alta,Baja,0,2,3,2,2,2,24168,3891.0480000000002,0.08500235768964867
36,0,Travel_Rarely,Research & Development,5,Secundaria,Life Sciences,51,Media,Media,1,Research Scientist,Media,Married,3419,9,Yes,14,Alta,Muy_Alta,1,6,3,1,0,0,41028,8082.5160000000005,0.15701094017199207
33,0,Travel_Frequently,Sales,1,Master,Life Sciences,52,Alta,Muy_Alta,2,Sales Executive,Muy_Alta,Married,5376,2,No,19,Alta,Baja,2,10,3,5,1,3,64512,13160.447999999999,0.053172198499411225
35,0,Travel_Rarely,Research & Development,4,Universitaria,Other,53,Alta,Alta,1,Laboratory Technician,Alta,Divorced,1951,1,No,12,Alta,Alta,1,1,3,1,0,0,23412,3769.332,0.020389177489177488
27,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,54,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2341,1,No,13,Alta,Muy_Alta,1,1,6,1,0,0,28092,4522.812,0.06505220566566634
26,1,Travel_Rarely,Research & Development,25,Universitaria,Life Sciences,55,Baja,Baja,1,Laboratory Technician,Baja,Single,2293,1,No,12,Alta,Alta,0,1,2,1,0,1,27516,4430.076,0.7226154608184737
27,0,Travel_Frequently,Sales,8,Universitaria,Life Sciences,56,Muy_Alta,Alta,3,Sales Executive,Alta,Single,8726,1,No,15,Alta,Muy_Alta,0,9,0,9,1,7,104712,21989.52,0.18125390124204369
30,0,Travel_Frequently,Research & Development,1,Universitaria,Medical,57,Alta,Alta,2,Laboratory Technician,Alta,Single,4011,1,No,23,Muy_Alta,Muy_Alta,0,12,2,12,3,7,48132,9482.004,0.14168075708532968
41,1,Travel_Rarely,Research & Development,12,Universitaria,Technical Degree,58,Media,Alta,5,Research Director,Alta,Married,19545,1,No,12,Alta,Muy_Alta,0,23,0,22,15,8,234540,49253.4,0.6571472740967499
34,0,Non-Travel,Sales,23,Universitaria,Marketing,60,Media,Alta,2,Sales Executive,Alta,Single,4568,0,No,20,Muy_Alta,Alta,0,10,2,9,8,7,54816,11182.464,0.11506459604502284
37,0,Travel_Rarely,Research & Development,19,Universitaria,Life Sciences,61,Media,Alta,1,Research Scientist,Alta,Married,3022,4,No,21,Muy_Alta,Baja,0,8,1,1,0,0,36264,7144.008000000001,0.08309149246336095
46,0,Travel_Frequently,Sales,5,Universitaria,Marketing,62,Baja,Alta,2,Sales Executive,Alta,Single,5772,4,Yes,21,Muy_Alta,Alta,0,14,4,9,0,8,69264,14129.856,0.3462594053357577
35,0,Travel_Rarely,Research & Development,8,Master,Life Sciences,63,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2269,1,No,19,Alta,Muy_Alta,0,1,2,1,0,1,27228,4383.7080000000005,0.21233781716144107
48,1,Travel_Rarely,Research & Development,1,Secundaria,Life Sciences,64,Baja,Media,3,Laboratory Technician,Media,Single,5381,9,Yes,13,Alta,Muy_Alta,0,23,2,1,0,0,64572,13172.687999999998,0.6549169867105613
28,1,Travel_Rarely,Research & Development,5,Universitaria,Technical Degree,65,Alta,Alta,1,Laboratory Technician,Alta,Single,3441,1,Yes,13,Alta,Alta,0,2,3,2,2,2,41292,8134.524,0.3103391229283572
44,0,Travel_Rarely,Sales,1,Universitaria,Marketing,68,Media,Alta,2,Sales Executive,Alta,Divorced,5454,5,Yes,21,Muy_Alta,Alta,1,9,2,4,1,3,65448,13351.392,0.07237470987392382
35,0,Non-Travel,Research & Development,11,Universitaria,Medical,70,Alta,Media,3,Healthcare Representative,Media,Married,9884,2,Yes,13,Alta,Alta,1,10,3,4,2,3,118608,24907.68,0.031839649960915144
26,0,Travel_Rarely,Sales,23,Secundaria,Marketing,72,Alta,Media,2,Sales Executive,Media,Married,4157,7,Yes,19,Alta,Alta,1,5,2,2,0,0,49884,9827.148000000001,0.4558235341197939
33,0,Travel_Frequently,Research & Development,1,Universitaria,Life Sciences,73,Baja,Alta,3,Research Director,Alta,Single,13458,1,Yes,12,Alta,Alta,0,15,1,15,8,12,161496,33914.159999999996,0.14491853094176588
35,0,Travel_Frequently,Sales,18,Universitaria,Life Sciences,74,Media,Alta,3,Sales Executive,Alta,Married,9069,1,No,22,Muy_Alta,Muy_Alta,1,9,3,9,1,8,108828,22853.879999999997,0.11688315986369928
35,0,Travel_Rarely,Research & Development,23,Universitaria,Medical,75,Alta,Alta,1,Laboratory Technician,Alta,Married,4014,3,Yes,15,Alta,Alta,1,4,3,2,2,2,48168,9489.096,0.11202762274333906
31,0,Travel_Rarely,Research & Development,7,Universitaria,Life Sciences,76,Muy_Alta,Alta,2,Laboratory Technician,Alta,Divorced,5915,3,No,22,Muy_Alta,Muy_Alta,1,10,3,7,1,7,70980,14479.919999999998,0.0626527941918742
37,0,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,77,Baja,Media,2,Manufacturing Director,Media,Divorced,5993,1,No,18,Alta,Alta,1,7,2,7,0,7,71916,14670.864,0.05114469127151673
32,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,78,Baja,Alta,2,Manufacturing Director,Alta,Married,6162,1,Yes,22,Muy_Alta,Media,1,9,3,9,7,8,73944,15084.576,0.10860112955769707
38,0,Travel_Frequently,Research & Development,29,Universitaria,Life Sciences,79,Muy_Alta,Alta,2,Laboratory Technician,Alta,Single,2406,1,No,11,Alta,Muy_Alta,0,10,2,10,9,9,28872,4648.392,0.13098988857129654
50,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,80,Media,Media,5,Research Director,Media,Divorced,18740,5,Yes,12,Alta,Muy_Alta,1,29,2,27,13,8,224880,47224.799999999996,0.022499869987972286
59,0,Travel_Rarely,Sales,25,Universitaria,Life Sciences,81,Baja,Alta,3,Sales Executive,Alta,Single,7637,7,No,11,Alta,Muy_Alta,0,28,3,21,7,9,91644,19245.239999999998,0.18955356175302154
36,0,Travel_Rarely,Research & Development,8,Universitaria,Technical Degree,83,Alta,Alta,3,Healthcare Representative,Alta,Divorced,10096,1,No,13,Alta,Media,3,17,2,17,12,8,121152,25441.92,0.0528748707705006
